Syllable | Count
---------|------
수 | 415
이 | 411
사 | 392
고 | 392
소 | 384
대 | 382
조 | 371
지 | 368
비 | 364
구 | 362
가 | 360
기 | 354
장 | 351
부 | 345
시 | 344
전 | 343
오 | 343
상 | 342
주 | 336
자 | 334
유 | 333
도 | 326
정 | 324
무 | 311
동 | 310
경 | 310
신 | 307
중 | 305
우 | 304
양 | 303
진 | 302
연 | 301
제 | 298
공 | 296
선 | 292
서 | 292
여 | 290
반 | 289
성 | 289
단 | 289
어 | 289
노 | 289
보 | 287
아 | 284
일 | 284
산 | 283
영 | 282
한 | 282
개 | 281
모 | 281
화 | 277
방 | 276
배 | 274
하 | 274
미 | 269
원 | 269
천 | 269
초 | 269
해 | 267
불 | 267
내 | 265
거 | 265
인 | 259
호 | 259
금 | 256
청 | 255
분 | 255
재 | 254
삼 | 254
요 | 253
간 | 252
강 | 251
안 | 249
세 | 247
관 | 244
외 | 244
교 | 242
적 | 242
실 | 240
포 | 239
추 | 237
발 | 235
계 | 235
위 | 234
백 | 229
파 | 228
당 | 228
감 | 228
마 | 227
통 | 227
종 | 224
차 | 224
문 | 224
귀 | 223
용 | 223
복 | 223
의 | 221
황 | 220
절 | 219
물 | 219
후 | 218
생 | 216
만 | 214
저 | 213
과 | 213
목 | 213
심 | 213
봉 | 212
현 | 211
회 | 209
두 | 208
피 | 208
속 | 207
명 | 204
광 | 204
군 | 204
애 | 203
난 | 202
건 | 200
다 | 199
창 | 199
치 | 199
철 | 199
석 | 198
토 | 196
말 | 196
예 | 195
역 | 194
순 | 194
육 | 193
각 | 193
매 | 193
허 | 192
음 | 191
나 | 191
야 | 189
환 | 189
병 | 188
설 | 188
암 | 188
등 | 188
염 | 187
참 | 186
로 | 185
남 | 184
옥 | 184
약 | 184
박 | 184
입 | 183
열 | 182
독 | 182
은 | 181
태 | 179
작 | 178
편 | 175
타 | 174
권 | 173
풍 | 173
리 | 172
농 | 171
승 | 171
별 | 170
잔 | 170
결 | 169
취 | 168
숙 | 168
궁 | 167
근 | 167
국 | 165
채 | 164
본 | 164
체 | 164
향 | 164
악 | 164
면 | 164
망 | 164
총 | 161
운 | 161
홍 | 160
왕 | 158
견 | 157
번 | 156
식 | 156
출 | 154
누 | 153
직 | 153
돌 | 153
완 | 152
침 | 152
담 | 152
점 | 151
월 | 151
변 | 150
잡 | 149
증 | 147
민 | 146
행 | 146
법 | 145
평 | 145
밀 | 143
극 | 143
혼 | 143
새 | 143
폐 | 142
괴 | 141
질 | 141
패 | 140
표 | 138
임 | 137
곡 | 137
송 | 137
준 | 136
골 | 136
범 | 136
살 | 135
쇠 | 135
탈 | 135
묘 | 135
잠 | 135
달 | 134
손 | 134
형 | 132
검 | 132
알 | 132
낙 | 132
좌 | 131
북 | 131
합 | 131
축 | 130
엄 | 129
퇴 | 128
령 | 128
련 | 127
빈 | 127
녹 | 127
투 | 127
필 | 126
갈 | 126
충 | 126
윤 | 125
항 | 125
집 | 123
격 | 123
탄 | 123
량 | 123
와 | 120
흉 | 120
급 | 120
온 | 118
학 | 115
흑 | 113
바 | 113
능 | 113
언 | 112
찬 | 112
함 | 112
칠 | 111
친 | 111
쌍 | 111
혈 | 110
팔 | 109
활 | 108
뇌 | 108
판 | 108
척 | 107
벌 | 107
색 | 107
혜 | 106
곤 | 106
류 | 106
맹 | 106
규 | 105
루 | 105
길 | 104
라 | 104
벽 | 104
왜 | 103
춘 | 103
착 | 103
접 | 103
협 | 103
빙 | 103
효 | 102
날 | 102
객 | 102
죽 | 101
탁 | 101
특 | 100
